date_utc,Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,target_up
2023-08-28 00:00:00+00:00,1693180800000,26101.78000000,26253.99000000,25864.50000000,26120.00000000,22692.62655000,1693267199999,591008939.17657000,523057,10912.40549000,284226173.79343950,0
2023-08-29 00:00:00+00:00,1693267200000,26120.00000000,28142.85000000,25922.00000000,27716.34000000,74251.99488000,1693353599999,2023326050.75847910,1137083,37945.55071000,1034244032.38146630,1
2023-08-30 00:00:00+00:00,1693353600000,27716.34000000,27768.57000000,27017.24000000,27299.99000000,35448.25848000,1693439999999,969086451.16252570,690292,16715.57712000,456926409.72973200,0
2023-08-31 00:00:00+00:00,1693440000000,27299.99000000,27587.51000000,25655.01000000,25940.78000000,51032.80401000,1693526399999,1360373186.01167090,944690,24598.11397000,655707233.88490080,0
2023-09-01 00:00:00+00:00,1693526400000,25940.77000000,26156.00000000,25333.75000000,25805.05000000,41032.15056000,1693612799999,1059444591.70974940,881179,19960.99030000,515429946.18317240,0
2023-09-02 00:00:00+00:00,1693612800000,25805.04000000,25987.50000000,25752.47000000,25869.51000000,16250.77698000,1693699199999,419812969.94685980,567728,7634.91416000,197234437.02204840,1
2023-09-03 00:00:00+00:00,1693699200000,25869.52000000,26135.00000000,25800.00000000,25971.21000000,17474.47667000,1693785599999,453100690.10210770,496412,8583.16498000,222581536.02684670,1
2023-09-04 00:00:00+00:00,1693785600000,25971.21000000,26108.02000000,25631.21000000,25826.02000000,21777.59609000,1693871999999,563532890.56999930,596830,10177.36860000,263365883.42955560,0
2023-09-05 00:00:00+00:00,1693872000000,25826.03000000,25915.49000000,25562.62000000,25792.10000000,21323.39337000,1693958399999,548893707.60020050,566736,9926.65838000,255537038.46609570,0
2023-09-06 00:00:00+00:00,1693958400000,25792.11000000,26040.00000000,25372.51000000,25759.95000000,27262.52386000,1694044799999,700763180.80116770,636302,12736.70564000,327416444.78409590,0
2023-09-07 00:00:00+00:00,1694044800000,25759.95000000,26443.14000000,25615.38000000,26255.00000000,27687.49567000,1694131199999,718923008.90711830,631929,13506.19156000,350741324.29203730,1
2023-09-08 00:00:00+00:00,1694131200000,26255.00000000,26445.50000000,25647.26000000,25910.50000000,28999.76471000,1694217599999,754184537.10969230,646852,14238.89945000,370236844.43140760,0
2023-09-09 00:00:00+00:00,1694217600000,25910.50000000,25945.09000000,25796.64000000,25901.61000000,10980.62277000,1694303999999,284109473.80757830,359038,5212.44349000,134863388.76288590,0
