date_utc,Open_price,High_price,Low_price,Close_price,Volume,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,evolution_prct,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,RSI,EMA_14,MACD,MACD_Signal
2017-09-04,4505.0,4527.49,3972.51,4100.11,1394.644614,5909947.49008974,9317,578.600851,2460362.61291664,-9.069921136905979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.47336873981056,4408.0598328099295,,
2017-09-05,4106.97,4484.99,3603.0,4366.47,1228.938157,5083453.18675071,10084,533.476065,2214297.83961246,6.496411071898089,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50.25094891080444,4402.514521768606,,
2017-09-06,4366.49,4662.87,4335.26,4619.77,807.363726,3626346.05544323,7956,422.923063,1903231.7409154,5.8010246262999665,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57.414561210268666,4431.481918866125,,
2017-09-07,4619.77,4788.59,4438.19,4691.61,500.429975,2305795.13638315,3070,240.683949,1111299.24357466,1.5550557711747404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59.20859949082203,4466.165663017308,,
2017-09-08,4691.66,4735.39,4028.93,4282.8,1132.255046,4866527.22639337,4733,465.962119,2004277.28941755,-8.713639880552726,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.05919606655372,4441.716907948334,,
2017-09-09,4282.8,4426.62,4150.06,4258.81,658.782952,2815383.46568698,3777,287.989805,1233627.00774409,-0.5601475670122258,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,46.456757892522695,4417.329320221889,,
2017-09-10,4258.81,4283.0,3801.0,4130.37,660.373275,2700371.80819211,3435,291.786887,1193884.03650449,-3.015865934380746,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,43.26342900130769,4379.068077525638,,
2017-09-11,4153.62,4334.43,4098.91,4208.47,699.989065,2956842.76250147,4228,322.19833,1361869.71324406,1.8908717620939708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45.70726410837564,4356.321667188886,-3.6923595048974676,
2017-09-12,4208.6,4394.59,4040.8,4163.72,879.630319,3725190.62328952,6501,451.78067,1911015.26637066,-1.063331804670109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.52387263544578,4330.6414448970345,-18.310134045488667,
2017-09-13,4159.72,4165.38,3760.0,3944.69,913.462545,3570365.92571669,5019,363.053413,1425986.44091325,-5.260440183297632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39.17732722404629,4279.181252244097,-47.02662254258394,
