date_utc,Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,target_up
2023-08-28 00:00:00+00:00,1693180800000,26101.78,26105.0,25872.05,25963.02,5714.74716,1693202399999,148609676.9372336,125103,2459.39264,63950367.3575036,0
2023-08-28 06:00:00+00:00,1693202400000,25963.01,26004.0,25864.5,26000.99,4435.50168,1693223999999,115057288.1698128,111246,2314.65067,60048357.3538075,1
2023-08-28 12:00:00+00:00,1693224000000,26000.99,26253.99,25991.44,26141.79,7687.00032,1693245599999,200908419.9834516,163132,3921.50238,102493857.718043,1
2023-08-28 18:00:00+00:00,1693245600000,26141.79,26178.83,25918.0,26120.0,4855.37739,1693267199999,126433554.086072,123576,2216.8598,57733591.3640854,0
2023-08-29 00:00:00+00:00,1693267200000,26120.0,26206.24,26032.07,26065.15,5339.28346,1693288799999,139324093.5487827,99640,2694.03844,70311364.3875862,0
2023-08-29 06:00:00+00:00,1693288800000,26065.15,26065.16,25922.0,25975.55,5310.25989,1693310399999,138028592.3870316,118615,2383.12393,61942214.0527875,0
2023-08-29 12:00:00+00:00,1693310400000,25975.54,28142.85,25964.79,27892.07,51471.3079,1693331999999,1408976377.1333272,704151,26846.39757,734669951.738056,1
2023-08-29 18:00:00+00:00,1693332000000,27892.08,28020.73,27532.79,27716.34,12131.14363,1693353599999,336996987.6893377,214677,6021.99077,167320502.2030366,0
2023-08-30 00:00:00+00:00,1693353600000,27716.34,27768.57,27280.99,27469.04,9013.17772,1693375199999,247844806.0545489,152199,4137.46,113749655.957109,0
2023-08-30 06:00:00+00:00,1693375200000,27469.05,27499.0,27310.05,27338.51,6125.57353,1693396799999,167932117.1784866,133161,2989.71585,81959509.249628,0
2023-08-30 12:00:00+00:00,1693396800000,27338.52,27464.45,27017.24,27167.98,15387.77382,1693418399999,419214083.1449861,282337,7444.7556,202814915.34623832,0
2023-08-30 18:00:00+00:00,1693418400000,27167.97,27337.78,27100.0,27299.99,4921.73341,1693439999999,134095444.7845041,122595,2143.64567,58402329.1767567,1
2023-08-31 00:00:00+00:00,1693440000000,27299.99,27303.36,27178.88,27251.29,3136.53649,1693461599999,85392198.8147819,96512,1439.3739,39187990.2734024,0
