date_utc,Open_price,High_price,Low_price,Close_price,Volume,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,evolution_prct,0-6h,6-12h,12-18h,18-23h,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre
2023-08-30 12:00:00,27338.52,27464.45,27017.24,27167.98,15387.77382,419214083.1449861,282337,7444.7556,202814915.34623832,-0.6237721075508462,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-30 18:00:00,27167.97,27337.78,27100.0,27299.99,4921.73341,134095444.7845041,122595,2143.64567,58402329.1767567,0.4859028900934259,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-31 00:00:00,27299.99,27303.36,27178.88,27251.29,3136.53649,85392198.8147819,96512,1439.3739,39187990.2734024,-0.17838834373199441,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-31 06:00:00,27251.29,27587.51,27184.99,27303.96,7316.68757,199816284.76382527,163717,3463.22352,94593527.5624634,0.19327525412558,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-31 12:00:00,27303.95,27315.47,26133.94,26329.07,25029.67357,669987578.0744629,401225,12251.96332,327961424.3854284,-3.570507721224314,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-31 18:00:00,26329.08,26387.32,25655.01,25940.78,15549.90638,405177124.3586008,283236,7443.55323,193964291.6636066,-1.4747577487545183,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-09-01 00:00:00,25940.77,26100.0,25931.11,26027.27,4788.52171,124638304.9054656,109473,2497.48788,64995270.256639,0.33341325896909524,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-01 06:00:00,26027.26,26072.34,25957.37,26047.49,5038.60771,131058202.5422774,129818,2351.36854,61159180.2281968,0.07768774827325853,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-01 12:00:00,26047.5,26156.0,25333.75,25478.86,21950.72134,565840477.1762103,415800,10472.91818,270009829.2940543,-2.1830510348597953,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-01 18:00:00,25478.85,25937.42,25455.41,25805.05,9254.2998,237907607.0857962,226088,4639.2157,119265666.4042823,1.28023781283777,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-02 00:00:00,25805.04,25853.03,25752.47,25821.38,3438.78388,88698080.6304132,121008,1744.65342,45001335.9019717,0.06328218701379118,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-02 06:00:00,25821.37,25860.0,25774.81,25813.54,3677.11214,94915779.1446245,136247,1663.08729,42927447.8408411,-0.030362436089781397,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-02 12:00:00,25813.55,25987.5,25785.64,25813.58,6019.37468,155730491.9978914,191466,2793.49916,72274373.2813299,0.00015495743705962184,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-02 18:00:00,25813.58,25907.09,25763.2,25869.51,3115.50628,80468618.1739307,119007,1433.67429,37031279.9979057,0.21666890063289923,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-03 00:00:00,25869.52,25907.53,25826.29,25900.06,2282.76557,59053693.2429873,80069,1218.83639,31529942.5341654,0.11809268903819614,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-03 06:00:00,25900.06,25956.3,25877.3,25943.38,3851.53921,99826788.6938803,105802,2180.63935,56521461.3043093,0.16725829978772033,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-03 12:00:00,25943.39,26085.01,25800.0,25888.0,6196.50171,160523999.1969089,168705,2606.17869,67532651.1269789,-0.21346486078529514,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-03 18:00:00,25887.99,26135.0,25882.27,25971.21,5143.67018,133696208.9683312,141836,2577.51055,66997481.0613931,0.3214230531520368,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-04 00:00:00,25971.21,26108.02,25877.66,25934.44,3892.23919,101087614.1943762,122033,1867.28325,48501670.1574936,-0.14157984937936963,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-04 06:00:00,25934.44,26011.24,25865.57,25892.49,4567.91,118513381.1224974,123320,2112.82334,54821631.255977,-0.1617540228360359,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-04 12:00:00,25892.49,25966.8,25717.04,25907.48,7366.0389,190387170.4240862,198361,3363.56648,86934434.215032,0.05789323467924046,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-04 18:00:00,25907.47,25948.15,25631.21,25826.02,5951.408,153544724.8290395,153116,2833.69553,73108147.801053,-0.31442656715358064,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-05 00:00:00,25826.03,25844.48,25562.62,25733.31,4639.38847,119280296.478921,126215,2101.2427,54015620.666919,-0.3589790451645203,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-05 06:00:00,25733.31,25812.09,25654.0,25783.68,4769.14969,122738316.7118943,129808,2379.70933,61251237.2526607,0.1957385194520267,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-05 12:00:00,25783.69,25915.49,25625.03,25749.08,8738.74851,225132711.8766962,204828,4110.98583,105917765.9280138,-0.13419341226698078,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-05 18:00:00,25749.09,25802.73,25675.0,25792.1,3176.1067,81742382.532689,105885,1334.72052,34352414.6185022,0.16707393040837903,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-06 00:00:00,25792.11,25870.51,25740.13,25746.55,2907.43778,75001327.0654579,97325,1289.95653,33279450.2771175,-0.17660446415762587,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-06 06:00:00,25746.55,25791.32,25715.16,25733.29,3775.30185,97231035.4281815,114205,1424.85766,36692657.6727977,-0.05150204590517182,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-06 12:00:00,25733.28,26040.0,25372.51,25860.01,13279.98759,340698952.3045322,260841,6476.3469,166210449.242795,0.49243606239233184,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-06 18:00:00,25860.0,25959.52,25588.0,25759.95,7299.79664,187831866.0029961,163931,3545.54455,91233887.5913857,-0.3869294714116456,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-07 00:00:00,25759.95,25850.0,25724.78,25788.92,2726.06226,70277136.8722633,96580,1255.12295,32355645.2407665,0.11246139841107894,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-07 06:00:00,25788.91,25795.62,25691.07,25708.6,3156.04973,81258777.7603832,104966,1268.40071,32655225.5908411,-0.3114515846340149,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
